10/03/2023 01:18:13.41: Orbit Recalculation
10/03/2023 01:18:13.4182: LOG: Alt: 2, Inc: 0, Ect: 1, dA=Infinity, tA=Infinity
10/03/2023 01:18:13.4192: LOG: 1: (Infinity), 99: (-Infinity), A=Infinity
10/03/2023 01:18:13.4192: LOG: 2: (NaN), 98: (NaN), A=NaN
10/03/2023 01:18:13.4202: LOG: 3: (NaN), 97: (NaN), A=NaN
10/03/2023 01:18:13.4212: LOG: 4: (NaN), 96: (NaN), A=NaN
10/03/2023 01:18:13.4221: LOG: 5: (NaN), 95: (NaN), A=NaN
10/03/2023 01:18:13.4231: LOG: 6: (NaN), 94: (NaN), A=NaN
10/03/2023 01:18:13.4231: LOG: 7: (NaN), 93: (NaN), A=NaN
10/03/2023 01:18:13.4242: LOG: 8: (NaN), 92: (NaN), A=NaN
10/03/2023 01:18:13.4251: LOG: 9: (NaN), 91: (NaN), A=NaN
10/03/2023 01:18:13.4261: LOG: 10: (NaN), 90: (NaN), A=NaN
10/03/2023 01:18:13.4271: LOG: 11: (NaN), 89: (NaN), A=NaN
10/03/2023 01:18:13.4271: LOG: 12: (NaN), 88: (NaN), A=NaN
10/03/2023 01:18:13.4281: LOG: 13: (NaN), 87: (NaN), A=NaN
10/03/2023 01:18:13.4291: LOG: 14: (NaN), 86: (NaN), A=NaN
10/03/2023 01:18:13.4302: LOG: 15: (NaN), 85: (NaN), A=NaN
10/03/2023 01:18:13.4302: LOG: 16: (NaN), 84: (NaN), A=NaN
10/03/2023 01:18:13.4311: LOG: 17: (NaN), 83: (NaN), A=NaN
10/03/2023 01:18:13.4321: LOG: 18: (NaN), 82: (NaN), A=NaN
10/03/2023 01:18:13.4331: LOG: 19: (NaN), 81: (NaN), A=NaN
10/03/2023 01:18:13.4341: LOG: 20: (NaN), 80: (NaN), A=NaN
10/03/2023 01:18:13.4341: LOG: 21: (NaN), 79: (NaN), A=NaN
10/03/2023 01:18:13.4352: LOG: 22: (NaN), 78: (NaN), A=NaN
10/03/2023 01:18:13.4362: LOG: 23: (NaN), 77: (NaN), A=NaN
10/03/2023 01:18:13.4362: LOG: 24: (NaN), 76: (NaN), A=NaN
10/03/2023 01:18:13.4377: LOG: 25: (NaN), 75: (NaN), A=NaN
10/03/2023 01:18:13.4377: LOG: 26: (NaN), 74: (NaN), A=NaN
10/03/2023 01:18:13.4388: LOG: 27: (NaN), 73: (NaN), A=NaN
10/03/2023 01:18:13.4388: LOG: 28: (NaN), 72: (NaN), A=NaN
10/03/2023 01:18:13.4403: LOG: 29: (NaN), 71: (NaN), A=NaN
10/03/2023 01:18:13.4413: LOG: 30: (NaN), 70: (NaN), A=NaN
10/03/2023 01:18:13.4423: LOG: 31: (NaN), 69: (NaN), A=NaN
10/03/2023 01:18:13.4423: LOG: 32: (NaN), 68: (NaN), A=NaN
10/03/2023 01:18:13.4433: LOG: 33: (NaN), 67: (NaN), A=NaN
10/03/2023 01:18:13.4443: LOG: 34: (NaN), 66: (NaN), A=NaN
10/03/2023 01:18:13.4443: LOG: 35: (NaN), 65: (NaN), A=NaN
10/03/2023 01:18:13.4453: LOG: 36: (NaN), 64: (NaN), A=NaN
10/03/2023 01:18:13.4463: LOG: 37: (NaN), 63: (NaN), A=NaN
10/03/2023 01:18:13.4473: LOG: 38: (NaN), 62: (NaN), A=NaN
10/03/2023 01:18:13.4483: LOG: 39: (NaN), 61: (NaN), A=NaN
10/03/2023 01:18:13.4493: LOG: 40: (NaN), 60: (NaN), A=NaN
10/03/2023 01:18:13.4493: LOG: 41: (NaN), 59: (NaN), A=NaN
10/03/2023 01:18:13.4508: LOG: 42: (NaN), 58: (NaN), A=NaN
10/03/2023 01:18:13.4529: LOG: 43: (NaN), 57: (NaN), A=NaN
10/03/2023 01:18:13.4538: LOG: 44: (NaN), 56: (NaN), A=NaN
10/03/2023 01:18:13.4548: LOG: 45: (NaN), 55: (NaN), A=NaN
10/03/2023 01:18:13.4558: LOG: 46: (NaN), 54: (NaN), A=NaN
10/03/2023 01:18:13.4558: LOG: 47: (NaN), 53: (NaN), A=NaN
10/03/2023 01:18:13.4568: LOG: 48: (NaN), 52: (NaN), A=NaN
10/03/2023 01:18:13.4578: LOG: 49: (NaN), 51: (NaN), A=NaN

Time Saved: 10/03/2023 01:18:13.4578
